cod;nome;período;valor
27;AL;2000;4.548
51;MT;2000;6.3
29;BA;2000;1.732
16;AP;2000;2.67
26;PE;2000;7.57
28;SE;2000;2.2
31;MG;2000;2.911
32;ES;2000;5.899
43;RS;2000;3.88
11;RO;2000;8.06
24;RN;2000;1.03
15;PA;2000;3.76
33;RJ;2000;8.668
21;MA;2000;1.106
23;CE;2000;1.963
35;SP;2000;7.92
53;DF;2000;5.6
25;PB;2000;3.23
52;GO;2000;3.658
17;TO;2000;2.44
14;RR;2000;1.34
41;PR;2000;2.23
50;MS;2000;6.77
42;SC;2000;4.93
13;AM;2000;3.67
12;AC;2000;4.377
22;PI;2000;0.687
12;AC;2001;3.11
42;SC;2001;3.92
51;MT;2001;7.174
22;PI;2001;2.062
23;CE;2001;2.192
31;MG;2001;2.67
24;RN;2001;1.779
25;PB;2001;2.821
29;BA;2001;1.508
26;PE;2001;7.63
43;RS;2001;2.96
53;DF;2001;5.721
17;TO;2001;3.301
50;MS;2001;6.621
27;AL;2001;2.78
16;AP;2001;5.67
11;RO;2001;12.155
28;SE;2001;2.2
32;ES;2001;6.49
15;PA;2001;4.469
33;RJ;2001;9.67
14;RR;2001;6.22
21;MA;2001;1.63
52;GO;2001;3.967
35;SP;2001;7.714
41;PR;2001;2.384
13;AM;2001;5.6
22;PI;2002;1.584
21;MA;2002;1.38
53;DF;2002;5.897
52;GO;2002;4.556
11;RO;2002;7.58
51;MT;2002;6.724
12;AC;2002;4.92
42;SC;2002;3.432
13;AM;2002;3.298
41;PR;2002;3.19
35;SP;2002;7.08
14;RR;2002;8.626
33;RJ;2002;9.128
15;PA;2002;3.757
32;ES;2002;8.29
28;SE;2002;3.16
16;AP;2002;4.673
27;AL;2002;3.49
50;MS;2002;7.395
17;TO;2002;3.58
43;RS;2002;5.486
26;PE;2002;6.804
29;BA;2002;1.65
25;PB;2002;2.406
24;RN;2002;1.331
31;MG;2002;3.35
23;CE;2002;1.775
17;TO;2003;3.77
15;PA;2003;4.41
26;PE;2003;6.792
28;SE;2003;2.31
13;AM;2003;3.65
22;PI;2003;2.036
11;RO;2003;8.72
21;MA;2003;2.492
41;PR;2003;2.78
27;AL;2003;3.57
12;AC;2003;3.964
24;RN;2003;1.5
42;SC;2003;3.12
35;SP;2003;7.374
52;GO;2003;4.812
14;RR;2003;4.925
29;BA;2003;1.83
33;RJ;2003;8.18
16;AP;2003;6.366
25;PB;2003;2.19
50;MS;2003;4.89
43;RS;2003;3.756
23;CE;2003;1.417
31;MG;2003;4.224
53;DF;2003;7.21
51;MT;2003;6.165
32;ES;2003;7.39
51;MT;2004;7.26
15;PA;2004;2.83
41;PR;2004;3.49
16;AP;2004;6.384
26;PE;2004;7.32
42;SC;2004;2.69
28;SE;2004;2.346
27;AL;2004;4.073
31;MG;2004;4.664
13;AM;2004;2.93
11;RO;2004;2.707
21;MA;2004;1.843
23;CE;2004;1.583
17;TO;2004;3.04
25;PB;2004;4.251
35;SP;2004;5.33
22;PI;2004;1.18
32;ES;2004;7.32
52;GO;2004;3.89
53;DF;2004;6.64
14;RR;2004;2.3
33;RJ;2004;7.08
29;BA;2004;2.816
24;RN;2004;1.239
12;AC;2004;2.57
43;RS;2004;4.66
50;MS;2004;5.358
24;RN;2005;2.515
53;DF;2005;4.83
14;RR;2005;6.86
15;PA;2005;3.629
41;PR;2005;4.022
51;MT;2005;5.87
22;PI;2005;2.394
42;SC;2005;1.974
35;SP;2005;4.371
50;MS;2005;5.788
26;PE;2005;8.11
11;RO;2005;5.94
17;TO;2005;3.277
52;GO;2005;5.043
32;ES;2005;8.83
43;RS;2005;3.05
16;AP;2005;5.68
27;AL;2005;4.17
31;MG;2005;4.11
23;CE;2005;1.62
28;SE;2005;3.289
29;BA;2005;2.941
25;PB;2005;3.86
13;AM;2005;3.15
12;AC;2005;3.033
33;RJ;2005;7.19
21;MA;2005;2.06
52;GO;2006;5.532
42;SC;2006;4.81
21;MA;2006;2.408
41;PR;2006;3.79
16;AP;2006;4.384
53;DF;2006;5.58
25;PB;2006;4.309
24;RN;2006;2.467
12;AC;2006;3.11
27;AL;2006;6.16
32;ES;2006;10.613
35;SP;2006;4.07
50;MS;2006;4.478
43;RS;2006;3.69
29;BA;2006;3.457
14;RR;2006;2.131
11;RO;2006;6.321
22;PI;2006;2.34
33;RJ;2006;7.03
15;PA;2006;4.212
23;CE;2006;2.29
26;PE;2006;9.048
51;MT;2006;4.626
17;TO;2006;3.64
31;MG;2006;4.501
28;SE;2006;3.34
13;AM;2006;2.652
32;ES;2007;11.631
53;DF;2007;5.8
11;RO;2007;3.784
50;MS;2007;5.1
51;MT;2007;6.173
41;PR;2007;2.89
21;MA;2007;2.05
13;AM;2007;3.424
12;AC;2007;3.45
24;RN;2007;2.34
35;SP;2007;2.988
29;BA;2007;3.66
14;RR;2007;6.874
33;RJ;2007;5.811
52;GO;2007;4.683
42;SC;2007;1.79
25;PB;2007;4.6
16;AP;2007;3.661
23;CE;2007;2.95
15;PA;2007;4.015
26;PE;2007;8.71
31;MG;2007;4.723
28;SE;2007;2.97
17;TO;2007;5.278
22;PI;2007;1.983
43;RS;2007;3.68
27;AL;2007;5.763
17;TO;2008;3.36
51;MT;2008;6.618
32;ES;2008;12.764
21;MA;2008;2.76
25;PB;2008;6.54
50;MS;2008;3.794
23;CE;2008;2.55
52;GO;2008;5.855
42;SC;2008;2.4
12;AC;2008;1.79
33;RJ;2008;5.72
14;RR;2008;3.44
22;PI;2008;2.53
11;RO;2008;3.936
43;RS;2008;3.73
35;SP;2008;2.968
27;AL;2008;5.969
16;AP;2008;5.162
29;BA;2008;4.489
53;DF;2008;7.723
24;RN;2008;4.36
13;AM;2008;4.251
41;PR;2008;4
28;SE;2008;3.06
31;MG;2008;4.1
26;PE;2008;8.66
15;PA;2008;4.77
24;RN;2009;3.38
42;SC;2009;2.24
41;PR;2009;4.12
13;AM;2009;4.36
22;PI;2009;1.74
35;SP;2009;3.415
33;RJ;2009;4.99
23;CE;2009;2.609
14;RR;2009;8.25
52;GO;2009;6.24
32;ES;2009;14.965
15;PA;2009;5.11
31;MG;2009;4.41
27;AL;2009;7.547
16;AP;2009;4.255
50;MS;2009;4.281
11;RO;2009;6.359
43;RS;2009;4.256
17;TO;2009;4.59
26;PE;2009;8.676
28;SE;2009;2.95
21;MA;2009;2.64
53;DF;2009;8.09
25;PB;2009;6.921
29;BA;2009;5.033
51;MT;2009;6.037
12;AC;2009;2.213
14;RR;2010;6.2
12;AC;2010;4.68
25;PB;2010;8.06
15;PA;2010;6.57
50;MS;2010;6.604
52;GO;2010;6.9
32;ES;2010;12.23
21;MA;2010;3.83
28;SE;2010;4.833
11;RO;2010;4.242
51;MT;2010;5.82
41;PR;2010;3.54
22;PI;2010;2.253
43;RS;2010;4.54
13;AM;2010;4.39
24;RN;2010;4.703
42;SC;2010;4.16
17;TO;2010;6.01
27;AL;2010;8.21
29;BA;2010;6.23
35;SP;2010;3.23
23;CE;2010;3.693
53;DF;2010;6.6
26;PE;2010;6.67
33;RJ;2010;4.84
31;MG;2010;4.68
16;AP;2010;5.609
32;ES;2011;9.87
43;RS;2011;2.54
27;AL;2011;9.044
15;PA;2011;5.08
42;SC;2011;1.37
17;TO;2011;7.235
26;PE;2011;7.439
31;MG;2011;5.158
52;GO;2011;9.908
28;SE;2011;6.41
50;MS;2011;7.057
25;PB;2011;9.626
14;RR;2011;6.22
21;MA;2011;4.13
33;RJ;2011;5.197
23;CE;2011;3.6
35;SP;2011;2.53
24;RN;2011;5.35
12;AC;2011;3.868
13;AM;2011;4.85
22;PI;2011;2.28
29;BA;2011;6.31
41;PR;2011;3.67
51;MT;2011;6.36
53;DF;2011;8.02
16;AP;2011;6.057
11;RO;2011;5.806
42;SC;2012;4.252
21;MA;2012;3.541
27;AL;2012;9.04
33;RJ;2012;4.885
26;PE;2012;5.97
17;TO;2012;7.29
53;DF;2012;7.79
24;RN;2012;4.23
51;MT;2012;6.47
52;GO;2012;8.757
35;SP;2012;3.461
13;AM;2012;6.46
15;PA;2012;6.46
43;RS;2012;4.39
16;AP;2012;5.23
29;BA;2012;6.05
23;CE;2012;3.59
11;RO;2012;6.52
50;MS;2012;7.385
41;PR;2012;4.46
22;PI;2012;3.13
28;SE;2012;6.38
12;AC;2012;4.88
25;PB;2012;9.17
32;ES;2012;12.597
14;RR;2012;4.42
31;MG;2012;5.33
22;PI;2013;3.009
11;RO;2013;4.99
29;BA;2013;6.142
25;PB;2013;8.67
15;PA;2013;5.98
33;RJ;2013;5.533
14;RR;2013;8.544
17;TO;2013;5.27
26;PE;2013;7.56
50;MS;2013;5.95
12;AC;2013;9.593
53;DF;2013;8.94
24;RN;2013;5.816
41;PR;2013;3.513
23;CE;2013;4.089
31;MG;2013;4.734
16;AP;2013;4.97
51;MT;2013;6.18
35;SP;2013;2.895
13;AM;2013;4.67
28;SE;2013;5.99
27;AL;2013;9.44
52;GO;2013;9.33
32;ES;2013;11.284
21;MA;2013;3.97
42;SC;2013;3.24
43;RS;2013;3.828
50;MS;2014;6.34
53;DF;2014;5.958
52;GO;2014;10.714
51;MT;2014;7.189
42;SC;2014;4.841
41;PR;2014;3.84
35;SP;2014;3.058
33;RJ;2014;6.69
32;ES;2014;9.58
31;MG;2014;4.448
27;AL;2014;9.9
26;PE;2014;6.595
43;RS;2014;5.44
25;PB;2014;8.15
24;RN;2014;6.98
23;CE;2014;4.71
21;MA;2014;4.672
17;TO;2014;5.005
29;BA;2014;5.54
28;SE;2014;7.86
16;AP;2014;6.724
15;PA;2014;6.62
14;RR;2014;5.958
13;AM;2014;4.23
12;AC;2014;4.97
22;PI;2014;4.14
11;RO;2014;6.33
31;MG;2015;4.56
16;AP;2015;4.42
53;DF;2015;5.453
13;AM;2015;6.02
41;PR;2015;2.849
25;PB;2015;7.008
12;AC;2015;4.27
32;ES;2015;9.29
52;GO;2015;8.62
50;MS;2015;5.43
35;SP;2015;2.565
17;TO;2015;6.591
15;PA;2015;7.18
29;BA;2015;5.58
26;PE;2015;6.44
28;SE;2015;7.72
22;PI;2015;4.41
14;RR;2015;5.96
43;RS;2015;5.99
11;RO;2015;8.374
24;RN;2015;7.577
42;SC;2015;4.02
33;RJ;2015;5.35
27;AL;2015;7.53
23;CE;2015;4.94
21;MA;2015;4.094
51;MT;2015;8.318
32;ES;2016;6.61
43;RS;2016;4.88
33;RJ;2016;5.904
26;PE;2016;7.22
23;CE;2016;4.602
21;MA;2016;4.771
50;MS;2016;6.282
42;SC;2016;5.14
14;RR;2016;6.09
13;AM;2016;6.23
16;AP;2016;4.78
29;BA;2016;5.91
31;MG;2016;3.948
52;GO;2016;8.463
24;RN;2016;6.524
17;TO;2016;5.098
11;RO;2016;5.55
25;PB;2016;6.665
53;DF;2016;5.729
35;SP;2016;2.405
28;SE;2016;5.97
15;PA;2016;8.27
41;PR;2016;2.45
22;PI;2016;3.39
12;AC;2016;5.78
27;AL;2016;7
51;MT;2016;7.075
16;AP;2017;7.29
13;AM;2017;6.39
14;RR;2017;9.496
53;DF;2017;3.488
17;TO;2017;5.306
33;RJ;2017;5.36
29;BA;2017;6.599
52;GO;2017;8.77
24;RN;2017;11.398
11;RO;2017;6.505
25;PB;2017;5.56
51;MT;2017;6.32
28;SE;2017;6.862
22;PI;2017;2.95
42;SC;2017;3.973
43;RS;2017;5.33
50;MS;2017;4.41
23;CE;2017;9.893
26;PE;2017;7.625
12;AC;2017;7.363
27;AL;2017;7.85
41;PR;2017;1.859
21;MA;2017;3.909
15;PA;2017;8.58
35;SP;2017;1.9
31;MG;2017;4.095
32;ES;2017;9.514
22;PI;2018;3.24
29;BA;2018;5.96
27;AL;2018;4.37
17;TO;2018;6.14
41;PR;2018;3.31
33;RJ;2018;5.01
21;MA;2018;3.84
53;DF;2018;3.77
15;PA;2018;8.28
32;ES;2018;5.96
25;PB;2018;5.23
28;SE;2018;3.58
51;MT;2018;6.18
11;RO;2018;4.72
35;SP;2018;1.92
14;RR;2018;15.01
24;RN;2018;7.56
52;GO;2018;7.01
16;AP;2018;3.63
43;RS;2018;4.67
13;AM;2018;7.16
26;PE;2018;5.68
23;CE;2018;12.86
50;MS;2018;5.37
31;MG;2018;3.73
12;AC;2018;8.52
42;SC;2018;2.48
51;MT;2019;4.7
17;TO;2019;5.27
23;CE;2019;5.87
29;BA;2019;5.86
24;RN;2019;7.67
28;SE;2019;5.26
25;PB;2019;3.84
42;SC;2019;3.88
43;RS;2019;4.51
16;AP;2019;4.9
26;PE;2019;4.75
27;AL;2019;7.02
15;PA;2019;5.87
31;MG;2019;3.16
14;RR;2019;9.64
32;ES;2019;5.78
33;RJ;2019;2.67
13;AM;2019;5.72
35;SP;2019;1.58
41;PR;2019;2.82
12;AC;2019;7.11
53;DF;2019;3.85
50;MS;2019;3.44
22;PI;2019;2.57
11;RO;2019;4.95
52;GO;2019;5.08
21;MA;2019;3.23
31;MG;2020;2.55
28;SE;2020;3.83
16;AP;2020;5.92
33;RJ;2020;3.95
53;DF;2020;2.1
25;PB;2020;5.39
27;AL;2020;7.01
43;RS;2020;4.69
22;PI;2020;2.99
21;MA;2020;4.22
50;MS;2020;5.1
15;PA;2020;4.65
42;SC;2020;3.06
14;RR;2020;6.99
32;ES;2020;6.08
23;CE;2020;8.64
24;RN;2020;6.02
41;PR;2020;2.73
13;AM;2020;3.94
11;RO;2020;6.37
29;BA;2020;6.32
12;AC;2020;5.69
52;GO;2020;4.05
51;MT;2020;6.73
35;SP;2020;1.58
26;PE;2020;5.27
17;TO;2020;4.6
42;SC;2021;1.69
14;RR;2021;5.56
31;MG;2021;2.54
27;AL;2021;5.26
29;BA;2021;6.52
35;SP;2021;1.39
15;PA;2021;5.25
41;PR;2021;3.88
12;AC;2021;7.15
26;PE;2021;5.9
17;TO;2021;3.52
16;AP;2021;4.76
43;RS;2021;4.16
50;MS;2021;5.51
22;PI;2021;3.92
21;MA;2021;3.75
25;PB;2021;4.58
28;SE;2021;3.61
51;MT;2021;5.13
11;RO;2021;5.74
24;RN;2021;5.39
53;DF;2021;2.78
23;CE;2021;8.52
52;GO;2021;3.9
32;ES;2021;6.56
33;RJ;2021;3.71
13;AM;2021;6.74
26;PE;2022;5.68
17;TO;2022;4
51;MT;2022;6.94
28;SE;2022;3.47
11;RO;2022;7.45
35;SP;2022;1.63
12;AC;2022;4.52
21;MA;2022;3.94
24;RN;2022;5.01
31;MG;2022;2.62
29;BA;2022;5.9
23;CE;2022;7.23
33;RJ;2022;3.31
27;AL;2022;5.69
50;MS;2022;5.47
22;PI;2022;4.57
15;PA;2022;5
42;SC;2022;2.12
13;AM;2022;5.58
25;PB;2022;4.64
32;ES;2022;5.5
16;AP;2022;4.67
52;GO;2022;4.05
53;DF;2022;2.71
41;PR;2022;3.56
14;RR;2022;5.82
43;RS;2022;4.52
